title,rating,ratingDescription,release_year,user_rating_size
An Extremely Goofy Movie,G,35,1999,80
Chicken Run,G,35,2000,80
The Emperor's New Groove,G,35,2000,80
Lilo & Stitch,PG,60,2002,80
Spy Kids 3: Game Over,PG,60,2003,80
Annie,PG,60,1982,80
Mulan 2,G,35,2004,80
Chicken Little,G,35,2005,80
Lilo & Stitch 2: Stitch Has A Glitch,PG,60,2005,80
Teenage Mutant Ninja Turtles,PG,60,2007,82
Bee Movie,PG,60,2007,80
Kung Fu Panda,PG,60,2008,80
Cars Toons: Mater's Tall Tales,TV-G,35,2010,80
Super Why!,TV-Y,10,2015,80
DreamWorks Shrek's Swamp Stories,TV-PG,70,2008,80
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,35,2012,82
DreamWorks Spooky Stories: Volume 2,TV-PG,70,2011,82
The Magic School Bus,TV-Y,10,1997,80
Goosebumps,TV-Y7,41,1998,80
Sammy 2,TV-PG,70,2012,82
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,35,2009,82
Masha and the Bear,TV-Y,10,2013,80
Pocoyo,TV-Y,10,2007,80
Sofia the First,TV-Y,10,2015,80
Barbie Life in the Dreamhouse,TV-G,35,2012,80
Paddington,PG,60,2014,80
Larva,TV-G,35,2015,82
Sid the Science Kid,TV-Y,10,2008,82
Chuggington,TV-Y,10,2015,82
All Hail King Julien,TV-Y7-FV,42,2016,80
Octonauts,TV-Y,10,2015,82
Minions,PG,60,2015,80
Dragons: Race to the Edge,TV-Y7-FV,42,2017,80
Little Einsteins,TV-Y,10,2007,80
Hotel Transylvania 2,PG,60,2015,80
Dinotrux,TV-Y7-FV,42,2017,82
The Little Prince,PG,60,2015,80
Word Party,TV-Y,10,2016,82
Zootopia,PG,60,2016,80
The Jungle Book,PG,60,2016,80
Home: Adventures with Tip & Oh,TV-Y7,41,2017,82
Open Season: Scared Silly,PG,60,2015,80
The Angry Birds Movie,PG,60,2016,80
Finding Dory,PG,60,2016,80
The Secret Life of Pets,PG,60,2016,81
Goldie & Bear,TV-Y,10,2016,80
Talking Tom and Friends,TV-G,35,2016,80
Cool Runnings,PG,60,1993,80
Homeward Bound: The Incredible Journey,G,35,1993,80
The Little Rascals,PG,60,1994,80
Anastasia,G,35,1997,80
Tarzan,G,35,1999,80
The Emperor's New Groove,G,35,2000,80
Scooby-Doo,PG,60,2002,80
Lilo & Stitch,PG,60,2002,80
Missione Hamburger,PG,60,1997,80
Chicken Little,G,35,2005,80
Curious George,G,35,2006,80
Bee Movie,PG,60,2007,80
Kung Fu Panda,PG,60,2008,80
Coraline,PG,60,2009,80
Cars Toons: Mater's Tall Tales,TV-G,35,2010,80
Super Why!,TV-Y,10,2015,80
Jessie,TV-G,35,2015,80
Secret of the Wings,G,35,2012,80
The Magic School Bus,TV-Y,10,1997,80
Sammy 2,TV-PG,70,2012,82
Masha and the Bear,TV-Y,10,2013,80
Sofia the First,TV-Y,10,2015,80
Barbie Life in the Dreamhouse,TV-G,35,2012,80
Clifford the Big Red Dog,TV-Y,10,2002,82
Home,PG,60,2015,80
Paddington,PG,60,2014,80
Chuggington,TV-Y,10,2015,82
Octonauts,TV-Y,10,2015,82
Minions,PG,60,2015,80
Dragons: Race to the Edge,TV-Y7-FV,42,2017,80
Little Einsteins,TV-Y,10,2007,80
Hotel Transylvania 2,PG,60,2015,80
Dinotrux,TV-Y7-FV,42,2017,82
Walt Disney Animation Studios Short Films Collection,TV-G,35,2015,80
Kung Fu Panda 3,PG,60,2016,80
Bunk'd,TV-G,35,2016,80
Zootopia,PG,60,2016,80
The Jungle Book,PG,60,2016,80
Open Season: Scared Silly,PG,60,2015,80
The Land Before Time XIV: Journey of the Brave,G,35,2016,82
The Angry Birds Movie,PG,60,2016,80
Alice Through the Looking Glass,PG,60,2016,80
The BFG,PG,60,2016,80
The Secret Life of Pets,PG,60,2016,81
Pete's Dragon,PG,60,2016,80
Kubo and the Two Strings,PG,60,2016,80
Goldie & Bear,TV-Y,10,2016,80
Little Baby Bum: Nursery Rhyme Friends,TV-Y,10,2016,82
Growing Up Wild,G,35,2016,80
The Real Ghostbusters,TV-Y7,41,1990,80
Cool Runnings,PG,60,1993,80
Anastasia,G,35,1997,80
Antz,PG,60,1998,80
Babe: Pig in the City,G,35,1998,82
The Prince of Egypt,PG,60,1998,80
Paulie,PG,60,1998,82
Tarzan,G,35,1999,80
The Road to El Dorado,PG,60,2000,80
Fantasia 2000,G,35,2000,82
Pocahontas II: Journey to a New World,TV-G,35,1998,80
The Emperor's New Groove,G,35,2000,80
Fantasia,G,35,1940,80
An American Tail,G,35,1986,80
Pooh's Grand Adventure: The Search for Christopher Robin,G,35,1997,82
FernGully 2: The Magical Rescue,G,35,1998,82
Balto 2: Wolf Quest,G,35,2001,82
Balto,G,35,1995,80
Back to the Secret Garden,G,35,2002,82
The Brave Little Toaster Goes to Mars,G,35,1998,82
The Brave Little Toaster to the Rescue,G,35,1997,82
An American Tail: The Mystery of the Night Monster,G,35,1999,82
An American Tail: Fievel Goes West,G,35,1991,82
The Last Unicorn,G,35,1982,82
The Iron Giant,PG,60,1999,80
Brother Bear 2,G,35,2006,80
The Fox and the Hound 2,G,35,2006,82
The Smurfs and the Magic Flute,G,35,1976,82
Jetsons: The Movie,G,35,1990,82
We're Back! A Dinosaur's Story,G,35,1993,82
A Monster in Paris,PG,60,2011,82
The Gruffalo,TV-Y,10,2009,82
DreamWorks How to Train Your Dragon Legends,TV-PG,70,2011,82
Ernest & Celestine,PG,60,2012,82
The Magic School Bus,TV-Y,10,1997,80
Animaniacs,TV-Y7,41,1997,80
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,35,2009,82
PopPixie,TV-G,35,2011,82
Jack and the Cuckoo-Clock Heart,PG,60,2013,82
The Pirate Fairy,G,35,2014,80
Axel: The Biggest Little Hero,PG,60,2013,82
The Adventures of Figaro Pho,TV-Y7,41,2015,82
The Boxcar Children,G,35,2014,82
Pet Pals in Windland,TV-G,35,2014,82
Walt Disney Animation Studios Short Films Collection,TV-G,35,2015,80
Alpha and Omega: Dino Digs,TV-G,35,2016,82
Alice Through the Looking Glass,PG,60,2016,80
Quackerz,PG,60,2016,82
Hatched,TV-Y7,41,2013,82
Blinky Bill: The Movie,PG,60,2015,82
The Real Ghostbusters,TV-Y7,41,1990,80
Flubber,PG,60,1997,80
Anastasia,G,35,1997,80
An Extremely Goofy Movie,G,35,1999,80
An American Tail,G,35,1986,80
Scooby-Doo,PG,60,2002,80
FernGully: The Last Rainforest,G,35,1992,80
Balto 2: Wolf Quest,G,35,2001,82
Balto,G,35,1995,80
The Lizzie McGuire Movie,PG,60,2003,82
The Brave Little Toaster Goes to Mars,G,35,1998,82
The Brave Little Toaster to the Rescue,G,35,1997,82
Recess: Taking the Fifth Grade,G,35,2003,82
An American Tail: The Mystery of the Night Monster,G,35,1999,82
An American Tail: Fievel Goes West,G,35,1991,82
The Iron Giant,PG,60,1999,80
The Very Hungry Caterpillar and Other Stories,TV-Y,10,1993,82
The Hero of Color City,G,35,2014,82
Dino Squad,TV-Y7,41,2008,82
The Little Engine That Could,G,35,2011,82
Delhi Safari,PG,60,2012,82
Ninja Turtles: The Next Mutation,TV-Y7-FV,42,1997,82
Pound Puppies,TV-Y,10,2013,82
Sammy 2,TV-PG,70,2012,82
Monster Math Squad,TV-G,35,2012,82
Care Bears: Welcome to Care-a-Lot,TV-Y,10,2012,82
Clifford the Big Red Dog,TV-Y,10,2002,82
Clifford's Puppy Days,TV-Y,10,2003,82
Axel: The Biggest Little Hero,PG,60,2013,82
Agent F.O.X.,PG,60,2014,82
Dinosaur King,TV-Y7-FV,42,2008,82
Ribbit,PG,60,2014,82
Chuggington,TV-Y,10,2015,82
Rooster Doodle-doo,TV-G,35,2014,82
Octonauts,TV-Y,10,2015,82
Kong: King of the Apes,TV-Y7-FV,42,2016,82
My Animal Friends,TV-Y,10,2013,82
Worms,PG,60,2013,82
Puffin Rock,TV-Y,10,2016,82
Little Einsteins,TV-Y,10,2007,80
Hotel Transylvania 2,PG,60,2015,80
Dinotrux,TV-Y7-FV,42,2017,82
The Mr. Peabody and Sherman Show,TV-Y7,41,2017,82
Zoobabu,TV-Y,10,2010,82
Alpha and Omega: Dino Digs,TV-G,35,2016,82
Gon,TV-G,35,2013,82
Sid the Science Kid: The Movie,TV-Y,10,2012,82
The Land Before Time XIV: Journey of the Brave,G,35,2016,82
The Secret Life of Pets,PG,60,2016,81
LEGO Jurassic World: The Indominus Escape,TV-Y7,41,2016,82
The Real Ghostbusters,TV-Y7,41,1990,80
Cool Runnings,PG,60,1993,80
Anastasia,G,35,1997,80
Antz,PG,60,1998,80
Babe: Pig in the City,G,35,1998,82
The Prince of Egypt,PG,60,1998,80
Paulie,PG,60,1998,82
Tarzan,G,35,1999,80
The Road to El Dorado,PG,60,2000,80
Fantasia 2000,G,35,2000,82
Pocahontas II: Journey to a New World,TV-G,35,1998,80
The Emperor's New Groove,G,35,2000,80
Fantasia,G,35,1940,80
An American Tail,G,35,1986,80
Pooh's Grand Adventure: The Search for Christopher Robin,G,35,1997,82
FernGully 2: The Magical Rescue,G,35,1998,82
Balto 2: Wolf Quest,G,35,2001,82
Balto,G,35,1995,80
Back to the Secret Garden,G,35,2002,82
The Brave Little Toaster Goes to Mars,G,35,1998,82
The Brave Little Toaster to the Rescue,G,35,1997,82
An American Tail: The Mystery of the Night Monster,G,35,1999,82
An American Tail: Fievel Goes West,G,35,1991,82
The Last Unicorn,G,35,1982,82
The Iron Giant,PG,60,1999,80
Brother Bear 2,G,35,2006,80
The Fox and the Hound 2,G,35,2006,82
The Smurfs and the Magic Flute,G,35,1976,82
Jetsons: The Movie,G,35,1990,82
We're Back! A Dinosaur's Story,G,35,1993,82
A Monster in Paris,PG,60,2011,82
The Gruffalo,TV-Y,10,2009,82
DreamWorks How to Train Your Dragon Legends,TV-PG,70,2011,82
Ernest & Celestine,PG,60,2012,82
The Magic School Bus,TV-Y,10,1997,80
Animaniacs,TV-Y7,41,1997,80
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,35,2009,82
PopPixie,TV-G,35,2011,82
Jack and the Cuckoo-Clock Heart,PG,60,2013,82
The Pirate Fairy,G,35,2014,80
Axel: The Biggest Little Hero,PG,60,2013,82
The Adventures of Figaro Pho,TV-Y7,41,2015,82
The Boxcar Children,G,35,2014,82
Pet Pals in Windland,TV-G,35,2014,82
Walt Disney Animation Studios Short Films Collection,TV-G,35,2015,80
Alpha and Omega: Dino Digs,TV-G,35,2016,82
Alice Through the Looking Glass,PG,60,2016,80
Quackerz,PG,60,2016,82
Hatched,TV-Y7,41,2013,82
Blinky Bill: The Movie,PG,60,2015,82
The Real Ghostbusters,TV-Y7,41,1990,80
Cool Runnings,PG,60,1993,80
Homeward Bound: The Incredible Journey,G,35,1993,80
Anastasia,G,35,1997,80
Antz,PG,60,1998,80
Babe: Pig in the City,G,35,1998,82
The Road to El Dorado,PG,60,2000,80
Fantasia 2000,G,35,2000,82
Fantasia,G,35,1940,80
Harry and the Hendersons,PG,60,1987,80
Pooh's Grand Adventure: The Search for Christopher Robin,G,35,1997,82
Cats & Dogs,PG,60,2001,82
Atlantis: The Lost Empire,PG,60,2001,80
FernGully: The Last Rainforest,G,35,1992,80
Balto 2: Wolf Quest,G,35,2001,82
Balto,G,35,1995,80
Back to the Secret Garden,G,35,2002,82
Tarzan & Jane,G,35,2002,82
Atlantis: Milo's Return,G,35,2003,80
The Brave Little Toaster Goes to Mars,G,35,1998,82
The Brave Little Toaster to the Rescue,G,35,1997,82
Annie,PG,60,1982,80
Recess: Taking the Fifth Grade,G,35,2003,82
An American Tail: The Mystery of the Night Monster,G,35,1999,82
Batched,G,35,2000,82
An American Tail: Fievel Goes West,G,35,1991,82
Winnie the Pooh: Springtime with Roo,G,35,2004,82
The Last Unicorn,G,35,1982,82
The Iron Giant,PG,60,1999,80
Mulan 2,G,35,2004,80
Pooh's Heffalump Movie,G,35,2005,82
Kronk's New Groove,G,35,2005,82
Corpse Bride,PG,60,2005,80
Brother Bear 2,G,35,2006,80
The Smurfs and the Magic Flute,G,35,1976,82
Jetsons: The Movie,G,35,1990,82
We're Back! A Dinosaur's Story,G,35,1993,82
Ernest & Celestine,PG,60,2012,82
Animaniacs,TV-Y7,41,1997,80
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,35,2009,82
Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,35,2009,82
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,35,2009,82
The Pirate Fairy,G,35,2014,80
Underdogs,PG,60,2013,82
The Boxcar Children,G,35,2014,82
Ribbit,PG,60,2014,82
Yellowbird,PG,60,2014,82
Octonauts,TV-Y,10,2015,82
The Land Before Time XIV: Journey of the Brave,G,35,2016,82
Quackerz,PG,60,2016,82
Growing Up Wild,G,35,2016,80
Cool Runnings,PG,60,1993,80
Mr. Magoo,PG,60,1997,82
Flubber,PG,60,1997,80
Anastasia,G,35,1997,80
Antz,PG,60,1998,80
Babe: Pig in the City,G,35,1998,82
Paulie,PG,60,1998,82
The Road to El Dorado,PG,60,2000,80
Air Bud: World Pup,G,35,2000,82
An American Tail,G,35,1986,80
Harry and the Hendersons,PG,60,1987,80
Cats & Dogs,PG,60,2001,82
Baby's Day Out,PG,60,1994,80
Balto 2: Wolf Quest,G,35,2001,82
Balto,G,35,1995,80
Back to the Secret Garden,G,35,2002,82
Blank Check,PG,60,1994,80
Heavyweights,PG,60,1995,80
Inspector Gadget 2,G,35,2003,82
Air Bud: Spikes Back,G,35,2003,82
Annie,PG,60,1982,80
An American Tail: Fievel Goes West,G,35,1991,82
D2: The Mighty Ducks,PG,60,1994,80
"Honey, I Shrunk the Kids",PG,60,1989,80
The Iron Giant,PG,60,1999,80
The Fox and the Hound 2,G,35,2006,82
Air Buddies,PG,60,2006,82
Dr. Dolittle: Tail to the Chief,PG,60,2008,82
Flicka 2,PG,60,2010,82
H2O: Just Add Water,TV-PG,70,2009,80
The Gruffalo,TV-Y,10,2009,82
Dolphin Tale,PG,60,2011,82
Pound Puppies,TV-Y,10,2013,82
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,35,2012,82
The Magic School Bus,TV-Y,10,1997,80
Step Dogs,TV-PG,70,2013,82
Pok̩mon: Indigo League,TV-Y,10,2000,80
Mia and Me,TV-Y,10,2015,82
Paddington,PG,60,2014,80
Russell Madness,PG,60,2015,82
My Animal Friends,TV-Y,10,2013,82
Dawn of the Croods,TV-Y7,41,2017,80
Alpha and Omega: Dino Digs,TV-G,35,2016,82
Wiener Dog Internationals,G,35,2015,82
Pup Star,G,35,2016,82
The BFG,PG,60,2016,80
The Secret Life of Pets,PG,60,2016,81
Precious Puppies,TV-G,35,2003,82
Beary Tales,TV-G,35,2013,82
Growing Up Wild,G,35,2016,80
